ingredient_id,ingredient_name,ingredient_editor_id,ingredient_origin_plugin,ingredient_winning_plugin,ingredient_fixed_form_id,ingredient_load_order_form_id,effect_id,effect_name,effect_editor_id,effect_origin_plugin,effect_winning_plugin,effect_fixed_form_id,effect_load_order_form_id,effect_type,effect_order,magnitude,duration,weight,value
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","DwaSpSabrecatTooth","Dwarfsphere.esp","PG_1.esp","059E9490","319E9490","fortify_unarmed","Fortify Unarmed","REQ_Alch_FortifyUnarmed","Requiem.esp","Requiem.esp","0A020E2B","8A020E2B","positive","1","1.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","DwaSpSabrecatTooth","Dwarfsphere.esp","PG_1.esp","059E9490","319E9490","fortify_armor_rating","Fortify Armor Rating","REQ_Alch_FortifyArmorRatingHeavy","Skyrim.esm","Requiem.esp","0003EB1E","0003EB1E","positive","2","12.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","DwaSpSabrecatTooth","Dwarfsphere.esp","PG_1.esp","059E9490","319E9490","fortify_smithing","Fortify Smithing","REQ_Alch_FortifySmithing","Skyrim.esm","Requiem.esp","0003EB1D","0003EB1D","positive","3","1.000000","120","0.100000","2"
"pounded_sabre_cat_tooth","Pounded Sabre Cat Tooth","DwaSpSabrecatTooth","Dwarfsphere.esp","PG_1.esp","059E9490","319E9490","weakness_to_poison","Weakness to Poison","REQ_Alch_WeaknessPoison","Skyrim.esm","Requiem.esp","00090042","00090042","negative","4","6.000000","30","0.100000","2"
"deathbell","Deathbell","deathBell","Skyrim.esm","PG_1.esp","000516C8","000516C8","damage_health","Damage Health","REQ_Alch_DamageHealth","Skyrim.esm","Requiem.esp","0003EB42","0003EB42","negative","1","12.000000","0","0.100000","4"
"deathbell","Deathbell","deathBell","Skyrim.esm","PG_1.esp","000516C8","000516C8","damage_maximum_stamina","Damage Maximum Stamina","REQ_Alch_DamageMaximumStamina","Skyrim.esm","Requiem.esp","00073F23","00073F23","negative","2","16.000000","60","0.100000","4"
"deathbell","Deathbell","deathBell","Skyrim.esm","PG_1.esp","000516C8","000516C8","tardiness","Tardiness","REQ_Alch_Tardiness","Skyrim.esm","Requiem.esp","00073F25","00073F25","negative","3","50.000000","4","0.100000","4"
"deathbell","Deathbell","deathBell","Skyrim.esm","PG_1.esp","000516C8","000516C8","weakness_to_poison","Weakness to Poison","REQ_Alch_WeaknessPoison","Skyrim.esm","Requiem.esp","00090042","00090042","negative","4","6.000000","30","0.100000","4"
"dwemer_egg","Dwemer Egg","ORD_DwemerEgg","Ordinator - Perks of Skyrim.esp","Ordinator - Perks of Skyrim.esp","12005F43","B1005F43","resist_shock","Resist Shock","REQ_Alch_ResistShock","Skyrim.esm","Requiem.esp","0003EAEC","0003EAEC","positive","1","3.000000","60","0.500000","25"
"dwemer_egg","Dwemer Egg","ORD_DwemerEgg","Ordinator - Perks of Skyrim.esp","Ordinator - Perks of Skyrim.esp","12005F43","B1005F43","fortify_lockpicking","Fortify Lockpicking","REQ_DEPRECATED_Alch_FortifyLockpicking","Skyrim.esm","Requiem.esp","0003EB21","0003EB21","positive","2","2.000000","30","0.500000","25"
"dwemer_egg","Dwemer Egg","ORD_DwemerEgg","Ordinator - Perks of Skyrim.esp","Ordinator - Perks of Skyrim.esp","12005F43","B1005F43","weakness_to_shock","Weakness to Shock","REQ_Alch_WeaknessShock","Skyrim.esm","Requiem.esp","00073F2F","00073F2F","negative","3","2.000000","30","0.500000","25"
"dwemer_egg","Dwemer Egg","ORD_DwemerEgg","Ordinator - Perks of Skyrim.esp","Ordinator - Perks of Skyrim.esp","12005F43","B1005F43","paralysis","Paralysis","REQ_Alch_Paralysis","Skyrim.esm","Big Tweaks.esp","00073F30","00073F30","negative","4","0.000000","2","0.500000","25"
"dragon_horn","Dragon Horn","DH_DragonHorn","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000922","FEB2D922","fortify_armor_rating","Fortify Armor Rating","REQ_Alch_FortifyArmorRating","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB1E","0003EB1E","positive","1","48.000000","120","0.250000","100"
"dragon_horn","Dragon Horn","DH_DragonHorn","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000922","FEB2D922","fortify_health","Fortify Health","REQ_Alch_FortifyHealth","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAF3","0003EAF3","positive","2","16.000000","300","0.250000","100"
"dragon_horn","Dragon Horn","DH_DragonHorn","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000922","FEB2D922","fortify_magicka","Fortify Magicka","REQ_Alch_FortifyMagicka","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAF8","0003EAF8","positive","3","16.000000","300","0.250000","100"
"dragon_horn","Dragon Horn","DH_DragonHorn","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000922","FEB2D922","fortify_stamina","Fortify Stamina","REQ_Alch_FortifyStamina","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAF9","0003EAF9","positive","4","16.000000","300","0.250000","100"
"dragon_bile","Dragon Bile","DH_DragonBile","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000804","FEB2D804","weakness_to_fire","Weakness to Fire","REQ_Alch_WeaknessFire","Skyrim.esm","Requiem - Alchemy Redone.esp","00073F2D","00073F2D","negative","1","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","DH_DragonBile","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000804","FEB2D804","weakness_to_frost","Weakness to Frost","REQ_Alch_WeaknessFrost","Skyrim.esm","Requiem - Alchemy Redone.esp","00073F2E","00073F2E","negative","2","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","DH_DragonBile","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000804","FEB2D804","weakness_to_shock","Weakness to Shock","REQ_Alch_WeaknessShock","Skyrim.esm","Requiem - Alchemy Redone.esp","00073F2F","00073F2F","negative","3","8.000000","30","0.250000","50"
"dragon_bile","Dragon Bile","DH_DragonBile","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000804","FEB2D804","weakness_to_poison","Weakness to Poison","REQ_Alch_WeaknessPoison","Skyrim.esm","Requiem - Alchemy Redone.esp","00090042","00090042","negative","4","12.000000","30","0.250000","50"
"dragon_rheum","Dragon Rheum","DH_DragonRheum","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000803","FEB2D803","damage_health","Damage Health","REQ_Alch_DamageHealth","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB42","0003EB42","negative","1","16.000000","0","0.250000","50"
"dragon_rheum","Dragon Rheum","DH_DragonRheum","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000803","FEB2D803","restore_health","Restore Health","REQ_Alch_RestoreHealth","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB15","0003EB15","positive","2","2.000000","20","0.250000","50"
"dragon_rheum","Dragon Rheum","DH_DragonRheum","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000803","FEB2D803","restore_magicka","Restore Magicka","REQ_Alch_RestoreMagicka","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB17","0003EB17","positive","3","2.000000","20","0.250000","50"
"dragon_rheum","Dragon Rheum","DH_DragonRheum","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000803","FEB2D803","restore_stamina","Restore Stamina","REQ_Alch_RestoreStamina","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB16","0003EB16","positive","4","2.000000","20","0.250000","50"
"dragon_heartscales","Dragon Heartscales","DH_DragonHeartscales","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000801","FEB2D801","resist_fire","Resist Fire","REQ_Alch_ResistFire","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAEA","0003EAEA","positive","1","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","DH_DragonHeartscales","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000801","FEB2D801","resist_frost","Resist Frost","REQ_Alch_ResistFrost","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAEB","0003EAEB","positive","2","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","DH_DragonHeartscales","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000801","FEB2D801","resist_shock","Resist Shock","REQ_Alch_ResistShock","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EAEC","0003EAEC","positive","3","8.000000","120","0.500000","100"
"dragon_heartscales","Dragon Heartscales","DH_DragonHeartscales","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000801","FEB2D801","resist_poison","Resist Poison","REQ_Alch_ResistPoison","Skyrim.esm","Requiem - Alchemy Redone.esp","00090041","00090041","positive","4","12.000000","120","0.500000","100"
"dragon_blood","Dragon Blood","DH_DragonBlood","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000800","FEB2D800","frenzy","Frenzy","REQ_Alch_Frenzy","Skyrim.esm","Requiem - Alchemy Redone.esp","00073F29","00073F29","negative","1","4.000000","15","0.250000","50"
"dragon_blood","Dragon Blood","DH_DragonBlood","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000800","FEB2D800","fortify_health_regeneration","Fortify Health Regeneration","REQ_Alch_FortifyHealthRegeneration","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB06","0003EB06","positive","2","32.000000","300","0.250000","50"
"dragon_blood","Dragon Blood","DH_DragonBlood","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000800","FEB2D800","fortify_magicka_regeneration","Fortify Magicka Regeneration","REQ_Alch_FortifyMagickaRegeneration","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB07","0003EB07","positive","3","32.000000","300","0.250000","50"
"dragon_blood","Dragon Blood","DH_DragonBlood","DragonHunting.esp","LoreRim - Alchemy Tweaks.esp","05000800","FEB2D800","fortify_stamina_regeneration","Fortify Stamina Regeneration","REQ_Alch_FortifyStaminaRegeneration","Skyrim.esm","Requiem - Alchemy Redone.esp","0003EB08","0003EB08","positive","4","32.000000","300","0.250000","50"
